date,star,text
2022-11-23,5,포장이 너무 맘에 들어요 빨리 잘 받았습니다
2022-11-03,5,와 먹어보고 리뷰 쓰려고 미루고 있었는데 방금 한모금 마셨거든요 진짜 맛있어요 이게 감귤이다 약간 와인같은 느낌이에요 라고 할랬는데 병에 와인이라고 써있네요 머쓱
2022-11-28,5,귤로만든거 중에 젤 맛있음
2022-11-21,5,선물로 드렸는데생각보다 배송도 나름 빨랐어요
2022-11-22,5,향이 살짝 나면서 가볍게 마셨습니다
2022-11-21,5,포장도 꼼꼼하고 맛도 있어요
2022-11-13,5,포장도 꼼꼼하고 제주도 기념품으로 샀어요
2022-11-17,2,너무 쎄요 12도인데 그냥 소주먹는 기분이네요귤향도 약해요ㅠ 기대했는데
2022-11-15,5,귤맛이 나는 리큐르느낌일줄 알았는데 고급진 매화수맛이납니다 잘마셨습니다
2022-11-05,5,홈파티 용도로 샀어요 배송도 빠르고 포장도 꼼꼼해요
2022-10-13,5,상자에 덜렁 들어있어서 놀라긴 했는데 포장은 잘 해주셔서 안 깨지고 왔어요 단 술을 좋아하는 편이라 괜찮네요
2022-10-06,5,너무 맛잇어요최고 ㅔ
2022-10-01,5,맛있다고해서 샀어요
2022-10-25,5,맛있어요  좋아요  
2022-11-01,5,좋아요 맛있어요 또먹고싶어요
2022-10-01,5,선물하려고 구입 좋아하시네요
2022-09-17,5,선물용으로 구매했어요 잘왔습니다
2022-09-01,5,좋아요 맛있어요 같이먹는 사람들도 좋아해요
2022-08-01,5,선물용으로도 좋고 특별한날 한잔하기도 젛아요또 구매하고싶습니다
2022-07-19,5,술집에서 먹어보고 구매 똑같이맛나겠죠
2022-05-26,5,선물용으로 구매했어요 대량구매했고 원하는 날짜에 보내주셔서 기분좋게 답례 할 수 있었습니다 사람들도 모두 다 좋아하셨어요 감사해요
2022-06-04,3,잘 먹었습니다리뷰에 박스개별포장 되어있다고해서 주문했는데ㅠㅠㅠ 개별 포장은 안되어있더라구요선물용으로 구매했는데 좀 아쉬워요
2022-07-08,5,포장도넘잘되서왔구맛도 부드럽게너무좋네여조만간또시키겠습니다
2022-07-02,5,포장 꼼꼼하고 맛있어요
2022-06-21,5,포장이 잘 되어있어서 좋습니다
2022-05-27,5,저렴한 가격빠른배송
2022-04-19,5,맛잇을꺼같아요 아직 안먹어봣는데 평이좋아서
2022-04-18,5,생각했던엄청 달달구리한 스타일은 아니지만맛있어요도수 대비 부드럽고 향도 독특하고임인년새해에디션 패키지가 너무 귀여워서 그걸로 받고 싶었는데그 패키지상품은 다 소진 되었다 하네요ㅜㅜ
2022-04-25,5,좋아요
2022-04-07,5,맛좋습니당 선물용으로딱이에요
2022-04-19,5,너무맛있고 새콤해요
2022-01-21,5,제주도에서 사서 먹어보고너무 너무 맛있어서 시켰어요술잘못드시는 분께도 적당했고 부드럽고양은 적지만  화이트와인이다 생각하고 음미하며 마실게요번창하세요
2022-03-07,5,아직 맛을 보지 않아서 잘 모르겠어요
2022-02-05,5,간만에 다시 마셨는데 좋네요 신년 에디션 패키지 귀여워요 ㅎㅎ
2022-02-21,5,제주에서 무거워서 못사왔는데 집에서 주문해서 편하게 먹었어요
2022-03-02,5,좋아요 좋아요 좋아요 좋아요 좋아요
2022-01-22,5,너무 달지 않아 어른들도 즐기실 수 있어요 해산물과도 잘 어울리는 깔끔한 맛입니다 두 번째 구매해서 잘 마시고 있습니다 감사합니다
2022-01-23,5,귤맛나는 술 맛있어요
2022-01-22,5,퇴근하고 집에서 한잔 먹고는 싶은데 소주는 부담이고 맥주는 배불러서 꺼려질 때 왠지 칼로리도 적을 것 같아 내몸에 죄책감이 덜하고 맛있어서 안주 크게 필요없고 딱 한잔만 하고 따랐다가 한잔 더 한반 더 해서 반병 넘게 마시게 됩니다
2022-02-23,5,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요
2022-02-13,5,조아좋아요오옹
2022-01-07,5,깔끔하고 좋았어요약간 와인 마시는 느낌을 받았네요양에 비해 가격이 좀 있어서 약간 아쉬워요몇병 이상은 무배로 진행하면 참 좋을것같은데 ㅎㅎ다음에 또 생각날떄 주문 하겠습니다
2022-02-04,5,맛있어서 또시켜 먹네요
2022-01-25,5,아주 맛있어요 다음에 또 배송 시키려구요 ㅎㅎ
2022-01-02,5,넘 맛있어요 ㅜㅜ여자친구가 넘 좋아허내용
2021-12-06,5,오 상큼하고 깔끔해요 선물로 주려고 샀는데 그냥 제가 먹으려고요 개별포장 부탁했더니 깔끔하게 보내주셔서 정말 감사해요
2021-12-21,5,제주도 여행 갔다가 마시게 되면서 인터넷으로도 구매하게 되었어요 남자친구랑 같이 마셨는데 맛있다며 좋아해줘서 뿌듯
2021-12-06,5,오프라인으로 마셔보고 반했어요감귤향 부드러운 청주느낌
2022-01-20,5,맛있고 좋아용 좋아용
2021-11-30,5,목넘김도 좋고 일반소주랑 확실히 다릅니다ㅎㅎ근데 감귤맛은 많이 나지는 않고 독한소주 싫어하거나과일술 좋아하는 여성분들이 딱 좋아할 맛이에요 술술 잘넘어 갔어요
2021-12-05,5,쟁여두고 먹습니다 맛있어요
2021-11-29,4,목넘김 부드럽고 맛 괜찮아요
2021-10-31,5,친구선물해줬어요 엄청 조아해요
2021-11-06,5,아주아주 맛있게 잘먹는중입니다 다마시면 또시킬게요
2021-10-18,5,제가 알쓰라 술에 대해서는 잘 모르는데 그냥 머시기 부담스럽지 않앗고 목놈긴도 편하구 친구들이랑 분위기 낼때 마시기 너무 좋을거 같아요
2021-10-28,4,목넘김  부드럽고 맛두 좋네요
2021-09-27,5,맛있습니다 감사합니다
2021-09-29,5,아주마니완전마니좋아요옹
2021-09-05,5,선물용으로 샀는데 부드럽다고 좋아들하세오
2021-09-26,5,적당히 달달하고 목넘김좋아요
2021-09-12,5,상상하던 딱 제가 원하던 그맛이네요 굿
2021-09-15,3,너무너문무너무맛있어써요
2021-08-28,3,생각보단 향이 덜났어요 맛은 조금 아쉽네요 애매한 느낌
2021-08-25,5,굿굿 포장좋고 박스개별포장 이쁘네유
2021-08-30,4,생각보다 맛은 좀  밍밍하네요
2021-08-06,4,달짝지근하명서 맛있네영
2021-08-24,5,맛있어요 맛있어요
2021-08-18,5,포장도 맛도 좋아요
2021-08-14,5,빠르게 배송와서 너무나 좋았습니다
2021-07-07,5,달달하니 맛나네용 선물용으로 넉넉히구매했어요
2021-07-24,5,배송이 무지 빨라요 ㄸ
2021-07-12,4,기대했던 것 만큼 특별한 맛은 아니였습니다
2021-06-03,5,택배 발송 시잠부터 배송 완료까지 엄청 빨라요친구들이랑 마시려고 샀는데 다들 좋다고 난리네요나중에는 제주도 직접 가서 더 사고 싶어요
2021-07-16,4,상큼합니다다만 좀 달달해서 호불호 있겠네요
2021-06-18,5,선물용으로 딱이네요
2021-06-23,5,술병 깨지지 않게 정말 포장 잘해주셨네요새콤 달콤 맛있어요
2021-06-26,5,막 시큼하진 않고 좀 가벼운 백세주느낌입니다
2021-05-03,5,귤향은 거의 안나요인공첨가물 들어간 술 맛이 아니라처음 마실 때부터 목넘김 후까지깔끔한 맛이라 좋았어요소주 잘 못 마시는데 혼디주는 계속 먹을 수 있는 맛이에요굿굿미리 말씀드렸더니 박스에 포장해서 보내주셔서 좋았습니다
2021-06-05,1,맛이고무맛이상한 단짠이라 못마시겠어요ㅠㅠ뭔가 잘못됐나 싶었는데 반품 과정 귀찮아저 그냥 리뷰로만 남깁니다
2021-05-20,5,지인들 선물용으로 딱이네요 너무 좋아요
2021-05-14,5,아빠랑 같이 먹었는데 다 먹었네요 맛ㄱㅊ
2021-06-04,5,선물용으로 샀는데 좋아하시네요
2021-04-14,5,너무 달지않아서 더 많이 마실수 잇어요 적당한 향긋순삭 두병사길 잘햇어요 재구매하겟습니당
2021-05-08,4,깔끔하고 담백해요 상큼한 귤향이 있는 부드러운 소주맛이었어요
2021-04-06,5,사케같아요얼음넣구 먹으니 더 깔끔하고 맛있네요귤 맛이나 향은 안느껴져서 조금 아쉬웠어요
2021-04-26,4,배송이 넘 느려요맛은 좋아요
2021-05-07,4,경험치 상승역하지 않은 달달함
2021-04-21,4,배송이 너무 오래걸렸어요 ㅜㅜ맛은 좋아요
2021-04-15,5,귀찮아서 병째로 마셨는데 홀짝홀짝 하니까 없어요ㅋㅋㅋ 청주느낌인데 생각보다 귤향은 안나요
2021-04-16,4,기대한 만큼 엄청 맛있진 않지만 가격대비 좋다고 생각합니다
2021-04-06,5,생각보다 감귤향이 진하진 않았어요무난합니다
2021-03-12,5,진짜 최고 혼디쥬 너무오무 팬이에요
2021-04-09,5,회랑 딱이에요 ㅎㅎ
2021-04-02,5,쬐금 독특한 좋은 맛입니다좋습니다
2021-03-06,5,정말맛있어요포장 굉장히 꼼꼼하게 욌어요그래도 병인지라 배송과정에서 한병이 조금 샜더라구요 배송괴정에서 생긴일이라 어쩔수없는거같아요
2021-03-11,5,병인데도 포장 너무 꼼옴하게 잘 해주셔서 진짜 감동받앗어요 감사합니다
2021-03-16,5,아직안먹너봤는데 기대되네여
2021-02-17,5,빠른배송 가성비굿향도좋네요
2021-03-13,5,잘 받았습니다 잘 마실게요
2021-02-17,5,혼술 할 때 깔끔해요
2021-02-08,5,배송이 느렸지만 포장 깔끔하고 꼼꼼하게 왔어요 아직 마셔보진 않았지만 기대됩니다
2021-01-09,5,여섯병 정도 먹어봤는데 재구매 의사 있을 정도로 좋은 맛과 향입니다
2020-12-23,5,기대 이상이네요 맛있게 잘 마셨습니다
2021-01-13,5, 또 주문하고 싶어요
2021-01-11,5,맛이 좋긴 하나 가격이 좀 세네요
2020-12-25,5,상큼하니 맛있었어요 다만 단 맛을 조금 줄이고 귤맛이 더 가미하는게 좋울 것 같아요
2020-12-08,5,과일주라 달지 않을까 했는데 단맛보다는 향이 두드러지는 편이라 좋았어요
2020-12-26,5,부드럽고맛이 깔끔하네요역시 백선생님 추천 술이네요
2020-12-16,5,더 살 껄 그랬어요
2020-12-17,2,사람마다 차이가 있을수있겟지만 저는 별로였어요청주맛 그거랑 비슷합니다
2020-12-21,4,맛있어요 잘 산것 같아요
2020-12-12,4,포장 꼼꼼하게 잘 왔어요 맛있네요
2020-12-20,5,술 잘 못마시는 분들도 편하게 먹을 수 있어요
2020-12-11,5,정말 맛나게 먹었어요 감귤향 청하 같습니다
2020-12-17,5,포장이 참 잘 되어 도착했습니다
2020-12-09,5,좋네요깨지지않고 꼼꼼이 배송맛은 더 봐야겠어요
2020-10-29,5,친구한테 보냈는데 좋아해요다음에 저도 먹어보려구요
2020-10-08,5,감귤하면 조금이라도 단맛이 있을 줄 알았는데 와우 없어요 단맛 처음 먹어보는 맛이었어요 뭔가 가벼운 느낌의 술이라서 깔끔한거 먹고 싶을때 좋을거 같아요
2020-11-13,5,맛좋아요 잘먹을께요
2020-10-12,5,살짝 깨져서 왔는데 업체에서 바로 먼저 연락주시고 친절하게 처리해 주셨어요 아빠가 엄청 좋아하셔서 두반째 구매했습니다
2020-09-09,5,잘 받았습니다 헤헤
2020-09-25,3,아직 안먹어서 잘모르겟네요
2020-08-25,4,포장 엄청 꼼꼼하게 해주셨네요 이것도 나쁘지 않았어요어디 타먹긴 좀 애매하군요
2020-08-25,2,감귤이 들어가긴 한건가 싶을 정도의 향
2020-07-19,4,제가 술을 잘 못먹어서 달달한술일줄 알았는데 그렇진않네요 밥먹을때 같이 먹어서 혼디주랑 마셔블랑이랑 차이점을 잘 못느꼈어요
2020-08-12,5,맛남 사진을 못 찍음 아쉽
2020-07-22,4,맛도 부드럽고 좋네요
2020-06-03,3,선물용으로 살때 참고하세요  제주도에서 예쁜박스에 담겨있는거 보고 선물용으로 주문했는데 그냥 병째로오네요 목요일에 선물해야되서 어쩔수없이 구매하지만 이럴줄알았으면 좀더 알아보고 주문할걸 그랬어요
2020-06-16,5,적당한 도수 적당한 달콤함 적당한 목넘김  여기서 적당하다는 건 그냥 대충 좋다는 게 아니라 모든 게 어우러져 조화가 완벽하다는 뜻입니다  발란스가 잘 맞아요  사실 너무 달면 어쩌나 싶었는데 상큼 깔끔하고 좋네요  100퍼센트 재구매 의향 있습니다  술 약한 분들은 언더락 하세요  상쾌한 여름 음료로 추천합니다
2020-06-15,5,포장 꼼꼼하구 배송도 적당히 도착했어요 시원하게 먹으면 더 맛있어요
2020-07-03,4,배송이 빠르네요 제주도에서 오는거라 오래 걸리줄 알앗는데 먹지는 않아서 맛은 잘모르겟어요
2020-07-09,5,맛있어요 은근 세요ㅋㅋ
2020-06-24,5,엄청상큼하고 그래요 통닭먹을 때 같이 먹으면 느끼함 싹 잡아주는 그런느낌
2020-06-19,5,제주도에서 오는것이라서 포장도 꼼꼼히 해주시고 너무 맛있어요
2020-06-13,3,생각보다 향이 강하지 않고 평범했습니다
2020-05-05,5,맛도 부드럽고 가볍게 먹기 좋은거 같아요 배송도 정말 안전한 우체국 택배로 왔어요
2020-04-25,5,먼저꼼꼼한포장 그런데로늦지않은배송시간 순함이좋습니다 입안에퍼지는 귤향이예술이네요 마지막까지잘마실께요
2020-05-13,5,아직안먹어봤어요 주말에 개봉박두포장엄청꼼꼼하네요
2020-05-11,5,마셔블랑이랑 같이 샀는데 맛있어요
2020-05-20,3,마셔보니 잔향이나 뒷맛이 조금 강했어요 저하고는 안맞아서 다 마시진 못했어요
2020-05-16,4,포장이 엄청 꼼꼼해서 좋았습니다 먹을 수록 더 매력적인 맛인 것 같아요 소주보다는 사케에 가까운 느낌이었어요
2020-05-28,5,이런 술 처음이넴 목넘김 진짜 부들좋아요
2020-06-02,5,배송 일주일  맛은 괜찬
2020-04-24,3,술을못먹는 타입인데 향은좋았지만 개인적인 취향으로 단술을좋아해서 단술좋아하는저로써는 별로였어요 ㅠㅠㅠ
2020-04-23,5,친구들이랑 마시려고 마셔블랑이랑 함께 구매했는데요 친구들은 혼디주를 더 마음에 들어하더라구요 부드럽고 약간 정종 느낌도 나구요 사진을 못찍어서 넘 아쉬워요 맛있게 잘 마셨습니다
2020-05-22,3,저는 좀 평범한 거 같아요
2020-05-07,5,아주 좋아요 배송도 깔끔하네요
2020-05-12,5,맛있어요 안깨지고잘옴
2020-03-08,5,맛있어요 2병 주문해서 받자마자 신랑이랑 한병먹고 한병은 아직 개봉안한 상태입니다 혼디주는 열었을 때 상큼한 귤향이 나고 다른 인공적인 향과 맛이 적어서 굉장히 편하게 즐겁게 즐길 수 있는 술이라고 생각합니다 순수 원료로만 만들고 가장 좋은 상태의 배합이 잘 되어 있는 느낌인데 이렇게나 가격이 저렴하다니 만세입니다 후기쓰러오니 잠시 판매중단 상태인 것 같은데 ㅜㅠ 어서 돌아와요
2020-05-03,4,약간 귤하얀부분의 쌉쌀한느낌이나내요
2020-05-05,5,이번 추석때 선물 해볼까하구요 좋어요
2020-04-21,3,상큼할 것이란 예상과 달리 국순 술 맛이 납니다 차게 해서 먹어도 그렇네요아무튼 잘 받았습니다
2020-04-27,4,살짝 감미료스러운 단맛이 나요 그것만 없으면 더 좋았을텐데
2020-05-01,5,맜있어요 또 살예정이에요
2020-04-23,5,맞있네요 혼디주 빠른 배송 감사합니다
2020-04-23,4,입뿌네요  배송도 빠르고맞있네요 감귤술
2020-04-16,5,맛있어요 대만족입니다 많이 파세요
2020-04-21,5,맛은 있는데 와인이 더 맛있어요
2020-04-16,5,잘받았습니다 아직 안먹어봤어요
2020-04-15,4,식전주로 알맞은것겉어요 상큼하고 도수는 낮지않구요
2020-04-06,4,매우  달달한 맛이에요
2020-03-17,5,만족합니다 후기 보고 구매했어요 빠른배송 감사합니다
2020-02-15,5,혹시나 배송이 오래 걸릴까봐 걱정했는데 생각보다 빨리 도착해서 굿굿 다음에 재주문 할 예정입니닷
2020-02-15,5,와인은 아직 안마셔봤는데 혼디주 부드럽고 맛있었어요 차게해서 먹어야 향도 좋고 맛도 더 좋았어요
2020-03-31,5,전통주 좋아하시면 딱입니다 ㅎㅎ
2020-03-13,4,호불호가 있는듯 있네요 저는 괜찮은데 신랑은 별로라고 함ㅠㅠ
2020-02-27,4,센 술 좋아하는데 그래도 둘 중에 요게 나아요
2020-02-16,5,병마다 맛이 조금 틀린가요어떤 날은 술냄새가 많이 나고 어떤날은 전통주 냄새가 좀 나고 어떠 날은 과일 맛이 좀 많이 나고먹을 때마다 맛이 좀 달라요 몸 컨디션에 따라 달라지는 건가 싶어요그래도 소주나 맥주도 못 마시는 일인이 유일하게 마시는 술입니다
2020-02-09,5,방송보고 주문했어요넘 맛있어서 또 사고싶네요
2020-02-10,5,상상했던 귤맛은 아니었지만 산미가 돌고 목넘김이 좋았어요
2020-02-09,5,맛있어요ㅎㅎㅎ포장도 꼼꼼히 해주셨어요
2020-02-09,5,생각보다 빨리 도착했어요 알콜 맛이 나지 않아서 알콜 도수를 잊고 홀짝홀짝 마실 수 있었어요 회랑 같이 먹었는데 회랑 먹기에는 살짝 너무 달았어요 마지막엔 꿀맛이 살짝 나는 달달한 와인입니다
2020-02-11,3,과일주로 손색이 없네요
2020-02-13,5,선물하기에도 좋고 맛도 좋고 포장도 꼼꼼히 해서 보내주셨어요
2020-02-11,4,신례명주는 케이스 없이 뽁뽁이로만 싸서와서 밑이 뚫려있다보니까 꺼내다가 떨어뜨려서 깨졌습니다뽁뽁이를 옆만 감싸지말고 위 아래 다 감싸주시면 좋을 것 같아요
2020-02-21,5,맛있어요 만족스럽습니다
2020-02-06,5,제주 특산품이자 대한민국을 대표하는 명주가 되길 기원합니다 지역과 지역민을 위해 애쓰신 그간의 노고에 꼭 훌륭한 댓가가 따를거예요 힘내세요
2020-02-09,3,생각보다 감귤향이 크게 안나서 아쉬웠네요 그래도 목넘김은 나름 괜찮은듯
2020-02-11,5,맛있어요 일반 소주보다 센것 같은데 맛있어요 뒤끝없고 좋네요
2020-02-08,5,도수도 낮고 살짝 달큰해서 맛있어요 귤향도 좋아요
2020-02-14,5,여자들이 좋아할만한 맛사장님 방송보고 샀는데 응원합니다
2020-02-14,5,비싸지 않고 배송도 빠르고 맛있어요
2020-02-19,5,상큼한향에 부드러운 넘김까지다음에 또 살래요
2020-02-07,5,선물용으로 좋을것같네요 아직 먹어보지 않아서 잘모르겠어요
2020-02-11,5,아직 먹어보진 않았지만 병이 일단 넘 예쁘네요 맛있을거 같아요
2020-02-08,5,생각보다 맛있어요많이 파세요
2020-02-07,5,향과 맛이 좋다고 해서 시켜봤습니다재구매 할려고 보니 상품이 전부 매진 되었네요
2020-02-12,5,맛난 술 만들어주셔서 감사합니다
2020-01-22,5,지인들께 선물로 줬는데 다들 좋아하셔서 좋아요하나하나 꼼꼼하게 포장해주셔서 감사합니다
2020-02-08,5,잘 받았어요 맛있게 마실게요
2020-02-11,4,새콤한 청주맛입니다 맛있어요
2020-02-11,5,다들맛있다고해서 기대중
2020-02-08,5,좋아요 잘 마실게요
2020-02-08,4,궁금해서구매햇어요
2020-01-04,5,아직 안먹어봤지만 배송은 잘 왔습니다
2020-01-25,5,배송포장넘좋았어용짱짱맨
2019-12-16,5,아직마시진않았습니다 그래도 패킹도이쁘고 다른데서 본 평으로 만족합니다
2019-12-29,5,주말과 크리스마스 껴서 배송은 늦었지만포장도 하나하나씩 안 깨지게 포장 잘해주셔서 감사합니다
2019-12-19,4,햄튜브님영상보고 신례명주랑 혼디주도 궁금해서 샀는데 기대되네요
2019-11-29,5,친구들 선물로 구매했어요 다들 좋아해서 기분이 좋네요
2019-12-12,5,빠른 배송 상큼한 맛
2019-08-31,5,아직 마시지는 않았지만 병 디자인이 괜찮아서 선물용으로도 가능할 것 같습니다
2019-03-13,5,개인적으로는 혼디주가 더 상큼하고 취향저격이었어요 술은 이런 쇼핑으로 처음 사보는데 만족스러운 구매였습니다 ㅋㅋ 번창하세요
2019-03-23,5,귤향 달콤한맛 부드러움 적당히 마실 술로 추천합니다
2019-03-08,5,냄새도 좋고 진짜 목넘길때 넘조항요
2019-03-08,4,향도 좋고 부드러워요
2019-01-20,5,배송도 빠르고 안전 배송 해주셨네요 그리고 패키지도 이뻐요
2019-02-04,3,선물용으로 시켰는데 제주에서 직접들고 오지 않아도 받아보니 편하고 기분좋게 선물할수 있어 좋네요
2019-02-15,5,목넘김이 예술입니ㅏ크앙
2019-01-28,5,선물용으로 좋으니요
2019-01-13,5,맛이나 넘김은 개인차이가 있겠지만포장은 잘 되어 왔습니다
2019-01-13,5,향이 맘에 듭니다 부드러우면서 귤향 가득
2018-12-27,4,생각보다 괜찮습니다
2018-12-16,5,아직 안 마셔봤지만 주변에 먹어본 사람들이 맛있다고 해서 기대중이에요ㅎㅎ
2018-10-22,5,좋아요 패키지도 예쁘고 산뜻하네요 외국 분들과 나눠마실건데 특산품으로 만든 술이 있어 참 좋습니다
2018-10-26,5,이번주 이번주말 마셔볼 예정인데 안주가 뭐가 좋을지 역시 마른 안주일까나요ㅋㅋㅋ 많이 파세요
2018-10-17,5,선물용으로 샀어요 배송도 빠르고 깨진거 없이 무사히 잘왔어요
2018-10-17,5,선물용구매 선물용으로 샀어요 맛은 잘 모르지만 배송도 빠르고 깨짐 없이 무사히 잘 도착 했어요ㅋㅋㅋㅋ
2018-10-23,5,굳 제주에서 시켰는데도 배송 도 빨리 오고좋네요 국굳 국  좋습니당  ㄹ
2018-10-26,5,이번주말 마셔볼 예정인데 뭐랑 먹을까
2018-10-08,4,좋아욤 좋아욤ㅋㅋㅋ선물용으로 주문했눈데 포장도 잘되고 크기도 좋구욤 아주 마음에 들어욤ㅋㅋㄱㄷㅋ
2018-10-14,5,신례명주부터 먹어보느라 아직 먹어보진 못했지만 꼼꼼하게 잘 포장되어 예쁘게왔습니다  기대됩니다 
2018-10-22,5,잘받았어요
2018-10-23,5,만족합니댱
2018-10-08,3,좋아욤ㅋㅋ선물할려고 마니주문했어욤
2018-10-16,5,만족합니당
2018-08-21,5,맛있어서 선물 했어요
2018-07-06,5,조아요오오오
2018-06-16,5,너무 맛나요 잘받았습니다
2018-06-02,3,생각보다 맛이 밋밋하네요
2018-04-05,4,품평 병디자인도독특하고빚깔이좋습니다 제주도에서 오는데도 배송이 비교적 빨리왔습니다 감귤향이 살짝나는데 제가 이런종류의 과실주를 좋아하기때문에 괜찮은 상품같습니다
2018-04-05,5,제주도에서 오는데 배송이 빠르네요
2018-02-15,5,선물겸 언니네 먹어보라고는데 배송은 잘되었는데 상자 뚜껑을 안쪽으로 해놔서 꺼낼 때 찌그러 지드라구요 
2018-02-09,3,달달하겟네요사이즈는 생각햇던 것 보단 작아오
2018-02-02,4,혼디주 처음 마셔 보는데 감칠맛이 있고 감귤맛이라 그런지 약간 새콤시큼한 맛도 있네요부드럽게 넘어갑니다
2018-02-01,3,선물했어요 배송 빨라서 좋아요
